CNES,Hospital,Municipio,Endereco,Telefone,Email
2283794,HOSPITAL MUNICIPAL MOACYR GOMES DE AZEVEDO,CAMBUCI,"RUA SETE DE SETEMBRO, 06, CENTRO - CEP 28430000",2227675001,Nao informado no CNES
2280396,HOSPITAL MUNICIPAL ANGELA MARIA SIMOES MENEZES,CASIMIRO DE ABREU,"RUA PASTOR LUIZ LAURENTINO, 1292, SANTA ELY - CEP 28860000",2227784440,faturamento.hmca@gmail.com
2290073,HOSPITAL MUNICIPAL ANA MOREIRA,CONCEICAO DE MACABU,"RUA ROSENDO FONTES TAVARES, 199, PREDIO, BOCAINA - CEP 28740000",2227792486,semsa@conceicaodemacabu.rj.gov.br
9491619,HOSPITAL DE CORDEIRO,CORDEIRO,"RUA ABEL VENTURA RIBEIRO DE MORAES, 361, CENTRO - CEP 28540000",Nao informado no CNES,Nao informado no CNES
2267810,HOSPITAL MUNICIPAL DR ANTONIO CARLOS DA SILVA MONNERAT,DUAS BARRAS,"AV GETULIO VARGAS, 199, CENTRO - CEP 28650000",2225341177,Nao informado no CNES
9193723,HMODC,DUQUE DE CAXIAS,"RUA DOUTOR LAUREANO, 1145, DOUTOR LAUREANO - CEP 25060198",Nao informado no CNES,Nao informado no CNES
2277751,HOSPITAL INFANTIL ISMELIA SILVEIRA,DUQUE DE CAXIAS,"RUA DA REPUBLICA, S/N, CENTRO - CEP 25011090",(31)27712808,Nao informado no CNES
2290227,HOSPITAL MUNICIPAL ADAO PEREIRA NUNES,DUQUE DE CAXIAS,"ROD WASHINGTON LUIZ, S/N, BR 040 KM 109, JD PRIMAVERA - CEP 25225015",2127775258,direcao.hmapn@duquedecaxias.rj.gov.br
4832256,HOSPITAL MUNICIPAL DO CORACAO SAO JOSE,DUQUE DE CAXIAS,"RUA NOBRE DE LACERDA, 111, VILA FLAVIA - CEP 25010260",Nao informado no CNES,Nao informado no CNES
0978213,HOSPITAL MUNICIPAL INFANTIL PADRE GUILHERME,DUQUE DE CAXIAS,"RUA EVARISTO DE MORAIS, S/N, VILA BERNADETE - CEP 25272560",Nao informado no CNES,cnes.hmpg@gmail.com
6007317,HOSPITAL MUNICIPAL MOACYR RODRIGUES DO CARMO,DUQUE DE CAXIAS,"ROD WASHINGTON LUIS, 3200, VILA SAO LUIZ - CEP 25085009",26721090 26723857,cnes.hmmrc.upa@gmail.com
0155055,MATERNIDADE SANTA CRUZ DA SERRA,DUQUE DE CAXIAS,"AV AUTOMOVEL CLUBE, 275, SANTA CRUZ DA SERRA - CEP 25272405",Nao informado no CNES,rh.maternidade.stserra@gmail.com
7588577,POLICLINICA HOSPITAL DUQUE DE CAXIAS,DUQUE DE CAXIAS,"RUA DR MANOEL LUCAS, S/N, SENHOR DO BONFIM - CEP 25025330",Nao informado no CNES,Nao informado no CNES
6146376,HOSPITAL MUNICIPAL JOSE RABELLO DE MELLO,GUAPIMIRIM,"RUA OSVALDO CRUZ, 0, BANANAL - CEP 25946497",2126323169,sms@guapimirim.rj.gov.br
2268922,HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ,ITABORAI,"ESTRADA PREFEITO ALVARO DE CARVALHO JUNIOR, S/N, NANCILANDIA - CEP 24801064",(21)26458070,hmdlj@itaborai.rj.gov.br
0131237,HOSPITAL MUNICIPAL SAO JUDAS TADEU,ITABORAI,"AV 22 DE MAIO, S/N, OUTEIRO DAS PEDRAS - CEP 24812222",21 2645-4508,gabinete.saude@itaborai.rj.gov.br
2284634,HOSPITAL MUNICIPAL SAO FRANCISCO XAVIER,ITAGUAI,"RUA GENERAL BOCAIUVA, 16, CENTRO - CEP 23815310",(21)26887844,sms.saude@itaguai.rj.gov.br
3470350,HOSPITAL MUNICIPAL DE ITAOCARA,ITAOCARA,"PRACA TOLEDO PIZZA, 151, CENTRO - CEP 28570000",(22)38612250,hospital_hmi@hotmaill.com
2288230,HOSP MUNICIPAL MATERNIDADE DR MANOEL MARTINS DE BARROS,ITATIAIA,"AV DOIS, 800, JD ITATIAIA - CEP 27580000",(24) 3352-6850/1250,admhospitalmunicipalitatiaia@gmail.com
2281554,HMJ HOSPITAL MUNICIPAL DE JAPERI,JAPERI,"ESTRADA ARY SCHIAVO, S/N, SANTA INES - CEP 26440115",2126645878,policlinica@gmail.com
2290499,HOSPITAL MUNICIPAL DE LAJE DO MURIAE,LAJE DO MURIAE,"RUA GERONCIO FERREIRA, 270, CENTRO - CEP 28350200",2238292434,Nao informado no CNES
7655703,HOSPITAL PUBLICO MUNICIPAL DA SERRA HPMS,MACAE,"RUA JOAO MANOEL DA SILVA, 600, TRAPICHE - CEP 27945000",(22) 2793-3914,assessoriahpms@gmail.com
5412447,HOSPITAL PUBLICO MUNICIPAL DE MACAE HPM,MACAE,"ROD RJ 168, S/N, KM 04, VIRGEM SANTA - CEP 27910000",2227730061,hpmm@pop.com.br
2278731,HOSPITAL DE MAUA DR MARIO PINHEIRO,MAGE,"ESTRADA REAL DE MAUA, S/N, PRAIA DA ESPERANCA - CEP 25926586",(21)6150025,Nao informado no CNES
2278324,HOSPITAL MATERNO INFANTIL DE PIABETA VEREADOR HUGO BRAGA,MAGE,"AVENIDA SANTOS DUMONT, 285, PIABETA INHOMIRIM - CEP 25931758",(21)2739-1289,Nao informado no CNES
2278677,HOSPITAL MUNICIPAL DE FRAGOSO GENARINO COZZOLINO,MAGE,"AV AUTOMOVEL CLUB, S/N, KM 60, FRAGOSO - CEP 25935510",(21)26593236,Nao informado no CNES
2278332,HOSPITAL MUNICIPAL DE MAGE,MAGE,"RUA PIO XII, 81, FIGUEIRA - CEP 25903587",(21)26332358,Nao informado no CNES
0103616,UNIDADE 24 HORAS DE SANTO ALEIXO,MAGE,"AVENIDA OTHON LINCH BEZERRA DE MELLO, 329, ANT PRED CENTRO ADM, SANTO ALEIXO - CEP 25912206",Nao informado no CNES,Nao informado no CNES
2288109,HOSPITAL MUNICIPAL VICTOR DE SOUZA BREVES,MANGARATIBA,"RUA NILO PECANHA, 85, CENTRO - CEP 23860000",(21)2789-9035,saude@mangaratiba.rj.gov.br
9895124,ERNESTO CHE GUEVARA SMSM,MARICA,"ROD ERNANI DO AMARAL PEIXOTO, 23269, QD GLD LT 2, SAO JOSE DO IMBASSAI - CEP 24931000",21-26372667,ernestocheguevaramarica@gmail.com
2266733,HOSPITAL MUNICIPAL CONDE MODESTO LEAL,MARICA,"RUA DOMICIO DA GAMA, 433, CENTRO - CEP 24900815",(21)26371713,superintendenciadesaudemarica@gmail.com
5057531,HOSPITAL MUNICIPAL SANTA MARIA,MENDES,"RUA CAPITAO MEXIAS, 112, CENTRO - CEP 26700000",2424652240,Nao informado no CNES
4123069,SAO MARCELINO CHAMPAGNAT,MENDES,"RJ127 KM30, S/N, GONZALES - CEP 26700000",Nao informado no CNES,Nao informado no CNES
2283239,HOSPITAL MUNICIPAL LUIZ GONZAGA,MIGUEL PEREIRA,"RUA ADELAIDE BADENES, 400, CENTRO - CEP 26900000",(24)21050222,secretariaadm.hmlg@ibdap.org.br
2293862,HOSPITAL MUNICIPAL JUSCELINO KUBITSCHEK,NILOPOLIS,"RUA ZEZINHO, 111, CENTRO - CEP 26520000",(21)37613223,Nao informado no CNES
0012513,HOSPITAL MUNICIPAL CARLOS TORTELLY,NITEROI,"ATHAYDE PARREIRAS, 266, NITEROI - CEP 24070090",(21) 2729-9342,Nao informado no CNES
0105317,HOSPITAL MUNICIPAL OCEANICO DR GILSON CANTARINO HMOGC,NITEROI,"DOUTOR RAUL DE OLIVEIRA RODRIGUES, 382, PIRATININGA - CEP 24350630",21 31803948,CONTABILIDADESAUDEDENITEROI@GMAIL.COM
2272784,HOSPITAL MUNICIPAL RAUL SERTA,NOVA FRIBURGO,"RUA GENERAL OSORIO, 324, CENTRO - CEP 28625630",22 2524-2300,hmrs@gigalink.com.br
2798662,HGNI HOSPITAL GERAL DE NOVA IGUACU,NOVA IGUACU,"AVENIDA HENRIQUE DUQUE ESTRADA MEYER, 953, NAO HA, POSSE - CEP 26030380",2137799900,direcaogeral.hgni@novaiguacu.rj.gov.br
7591136,HOSPITAL IGUASSU MATERNIDADE MUNICIPAL MARIANA BULHOES,NOVA IGUACU,"RUA CORONEL ALFREDO SOARES, S/N, CENTRO - CEP 26255150",31023123,direcaogeral.mmmb@gmail.com
2279355,HOSPITAL MUNICIPAL DR ADALBERTO DA GRACA,PARACAMBI,"AV JONAS LEAL, 17, LAGES - CEP 26600000",(21)26832128,Nao informado no CNES
0219436,MATERNIDADE LAURINDO JOSE FERREIRA,PARACAMBI,"AVENIDA JONAS LEAL, 17, LAGES - CEP 26600000",Nao informado no CNES,Nao informado no CNES
2704587,HOSPITAL MUNICIPAL HUGO MIRANDA,PARATY,"RUA SAO PEDRO DE ALCANTARA, 01, PONTAL - CEP 23970000",2433716551,paratyfaturamento@gmail.com
2275562,HOSPITAL ALCIDES CARNEIRO,PETROPOLIS,"RUA VIGARIO CORREA, 1345, CORREAS - CEP 25720320",2236-6600,direcaotecnica@alcidescarneiro.com
2275589,HOSPITAL MUNICIPAL DR NELSON DE SA EARP,PETROPOLIS,"RUA PAULINO AFONSO, 455, CENTRO - CEP 25680000",(24)22374062,ssahmnse03@petropolis.rj.gov.br
2271141,HOSPITAL MUNICIPAL DE PINHEIRAL AURELINO GONCALVES BARBOSA,PINHEIRAL,"RUA FRANCISCO RIBEIRO DE ABREU, 60, CENTRO - CEP 27198360",(24) 3356 3490/3188,smspinheiral2017@outlook.com.br
2272210,UNIDADE DE ATENDIMENTO DR ANTONIO MONTEIRO,PORCIUNCULA,"RUA SCHUWARTZ VIEIRA, 154, CENTRO - CEP 28390000",2238421172,saude@porciuncula.rj.gov.br
5307864,HOSPITAL GERAL MUNICIPAL SAO FRANCISCO DE ASSIS,PORTO REAL,"AVENIDA RENATO MONTEIRO, 1235, CENTRO - CEP 27570000",2433534201,controleavaliacaopr@gmail.com
0182974,HOSPITAL E MATERNIDADE MUNICIPAL DE QUEIMADOS,QUEIMADOS,"RUA DEUSINHO DE FREITAS, 13, CENTRO - CEP 26325290",26657800,Nao informado no CNES
2267209,HOSPITAL MUNICIPAL MARIANA MARIA DE JESUS,QUISSAMA,"AV AMILCAR PEREIRA DA SILVA, 138, MATO DE PIPA - CEP 28737000",2227689100,hospital@quissama.rj.gov.br
2288893,HOSPITAL MUNICIPAL HENRIQUE SERGIO GREGORI,RESENDE,"AVENIDA MARCILIO DIAS, 800, JARDIM JALISCO - CEP 27510080",(24) 3381-2080,direcaohme.resende@gmail.com
6232094,HOSPITAL MUNICIPAL NOSSA SENHORA DA PIEDADE,RIO CLARO,"RODOVIA FRANCISCO SATURNINO BRAGA, 9831, GUARITA - CEP 27460000",24 33321611/33321798,fusarc.infdados@rioclaro.rj.gov.br
2268329,HOSPITAL GERAL DR LUIZ PINTO,RIO DAS FLORES,"RUA MARCELINO DO VALLE, 13, INGLESES - CEP 27660322",(24)24581300,faturamentorf@gmail.com
6069134,HOSPITAL MUNICIPAL DRA NAELMA MONTEIRO DA SILVA,RIO DAS OSTRAS,"RUA NILDON LUSTOSA, S/N, PARQUE ZABULAO - CEP 28893800",22 27716329,hmro@pmro.rj.gov.br
7612036,PRONTO SOCORRO MUNICIPAL RIO DAS OSTRAS,RIO DAS OSTRAS,"LAERCIO LUCIO DE CARVALHO, 1075, PARQUE ZABULAO - CEP 28893437",22 27641823,Nao informado no CNES
2298120,SMS HOSPITAL MUNICIPAL ALBERT SCHWEITZER AP 51,RIO DE JANEIRO,"RUA NILOPOLIS, 329, REALENGO - CEP 21725090",(21) 2042-2096,faturamento.hmas@vivario.org.br
2273187,SMS HOSPITAL MUNICIPAL ALVARO RAMOS AP 40,RIO DE JANEIRO,"RUA ADAUTO BOTELHO, 0, JACAREPAGUA - CEP 22713550",(21)33920008,hmaramos@rio.rj.gov.br
2270242,SMS HOSPITAL MUNICIPAL BARATA RIBEIRO AP 10,RIO DE JANEIRO,"RUA VISCONDE DE NITEROI, 1450, MANGUEIRA - CEP 20943001",2122841812,hmbribeiro@rio.rj.gov.br
2269481,SMS HOSPITAL MUNICIPAL DA PIEDADE AP 32,RIO DE JANEIRO,"RUA DA CAPELA, 96, PIEDADE - CEP 20740310",(21)31116540,hmpiedade@rio.rj.gov.br
7166494,SMS HOSPITAL MUNICIPAL EVANDRO FREIRE AP 31,RIO DE JANEIRO,"ESTRADA DO GALEAO, 2920, PORTUGUESA ILHA DO G - CEP 21931582",21 38122400,faturamento.hmef@cejam.org.br
2291266,SMS HOSPITAL MUNICIPAL FRANCISCO DA SILVA TELLES AP33,RIO DE JANEIRO,"UBIRAJARA, 25, IRAJA - CEP 21230300",021 3715070,Nao informado no CNES
2269341,SMS HOSPITAL MUNICIPAL JESUS AP 22,RIO DE JANEIRO,"OITO DE DEZEMBRO, 717, VILA ISABEL - CEP 20550200",Nao informado no CNES,dica.hmjesus@gmail.com
2273381,SMS HOSPITAL MUNICIPAL JURANDYR MANFREDINI AP 40,RIO DE JANEIRO,"RUA SAMPAIO CORREIA, S/N, JACAREPAGUA - CEP 22713560",(21) 3432-2246,hmjmanfredini@pcrj.rj.gov.br
2270609,SMS HOSPITAL MUNICIPAL LOURENCO JORGE AP 40,RIO DE JANEIRO,"AV AYRTON SENNA, 2000, BARRA DA TIJUCA - CEP 22793000",21 3111-4612,hmljorge@rio.rj.gov.br
2270269,SMS HOSPITAL MUNICIPAL MIGUEL COUTO AP 21,RIO DE JANEIRO,"MARIO RIBEIRO, 117, GAVEA - CEP 22430160",21 3111-3711,hmmcdrh@gmail.com
2269724,SMS HOSPITAL MUNICIPAL NOSSA SENHORA DO LORETO AP 31,RIO DE JANEIRO,"RUA TAIFEIRO OSMAR DE MORAES, 26, GALEAO - CEP 21941455",(21)33931983/0610,hmnsloreto@gmail.com
6995462,SMS HOSPITAL MUNICIPAL PEDRO II AP 53,RIO DE JANEIRO,"RUA DO PRADO, 325, SANTA CRUZ - CEP 23555012",3365 5201,cnes.hmp2@spdm-pais.org.br
2273349,SMS HOSPITAL MUNICIPAL RAPHAEL DE PAULA SOUZA AP 40,RIO DE JANEIRO,"ESTRADA DE CURICICA, 2000, CURICICA, JACAREPAGUA - CEP 22740000",2134136433,smsdirecaogeralhmrps@gmail.com
2295407,SMS HOSPITAL MUNICIPAL ROCHA FARIA AP 52,RIO DE JANEIRO,"AV CESARIO DE MELO, 3215, CAMPO GRANDE - CEP 23050101",(21)2333-6797,direcao.hmrf@igedes.org.br
2273489,SMS HOSPITAL MUNICIPAL ROCHA MAIA AP 21,RIO DE JANEIRO,"GENERAL SEVERIANO, 91, BOTAFOGO - CEP 22290040",21-22952295,hospitalmunicipalrochamaia@gmail.com
5717256,SMS HOSPITAL MUNICIPAL RONALDO GAZOLLA AP 33,RIO DE JANEIRO,"AV PASTOR MARTIN LUTHER KING, 10976, ACARI - CEP 21531010",(21)2088-4600,hospitalronaldogazolla.riosaude@gmail.com
2296306,SMS HOSPITAL MUNICIPAL SALGADO FILHO AP 32,RIO DE JANEIRO,"ARQUIAS CORDEIRO, 370, MEIER - CEP 20770000",Nao informado no CNES,Nao informado no CNES
2280183,SMS HOSPITAL MUNICIPAL SOUZA AGUIAR AP 10,RIO DE JANEIRO,"PRACA DA REPUBLICA, 111, CENTRO - CEP 20211350",Nao informado no CNES,Nao informado no CNES
7041624,SMS MATERNIDADE DA MULHER MARISKA RIBEIRO AP 51,RIO DE JANEIRO,"PRACA 1 DE MAIO, S/N, BANGU - CEP 21830006",21 2042-2912,diretoria.hmmr@cejam.org.br
5095824,HOSPITAL BASILEU ESTRELA,SANTA MARIA MADALENA,"RUA BARAO DE MACABU, 17, CENTRO - CEP 28770000",2225611768,Nao informado no CNES
2291320,HOSPITAL MUNICIPAL MANOEL CAROLA,SAO FRANCISCO DE ITABAPOANA,"AV NILTON MAYERHOFFER PESSANHA, 48, PONTO DE CACIMBAS - CEP 28230000",22999659443,saudesfi@hotmail.com
0113891,HOSPITAL DO CANCER E DO CORACAO HCCOR,SAO GONCALO,"ESTRADA DE PACHECO, 216, A, LAGOINHA - CEP 24440400",Nao informado no CNES,Nao informado no CNES
2292084,HOSPITAL DR LUIZ PALMIER,SAO GONCALO,"PRACA ESTEPHANIA DE CARVALHO, 26, PARTE 1, ZE GAROTO - CEP 24440195",(21) 2603-6590,Nao informado no CNES
4628799,HOSPITAL GERAL DE SAO GONCALO,SAO GONCALO,"RUA SA CARVALHO, 686, VILA IARA - CEP 24440710",Nao informado no CNES,Nao informado no CNES
2704595,HOSPITAL INFANTIL DARCY SARMANHO VARGAS,SAO GONCALO,"PRACA ESTEPHANIA DE CARVALHO, 26, PARTE 3, ZE GAROTO - CEP 24440195",(21)26056531,Nao informado no CNES
0113115,HOSPITAL MUNICIPAL RETAGUARDA GONCALENSE,SAO GONCALO,"RUA JOAO DE SOUZA, 410, CENTRO - CEP 24445370",Nao informado no CNES,Nao informado no CNES
2297590,MATERNIDADE MUNICIPAL DR MARIO NIAJAR,SAO GONCALO,"ALFREDO BACKER, 324, ALCANTARA - CEP 24430380",2725-7390,Nao informado no CNES
2298708,HOSPITAL MUNICIPAL DE SAO JOAO DE MERITI ABDON GONCALVES,SAO JOAO DE MERITI,"AVENIDA PRESIDENTE LINCOLN, S/N, JARDIM MERITI - CEP 25555200",21 2651-1220,Nao informado no CNES
2280582,HOSPITAL MUNICIPAL DR JOSE SEVE NETO,SAO PEDRO DA ALDEIA,"RUA EPAMINONDAS PEREIRA NUNES, 01, NOVA SAO PEDRO - CEP 28941140",22 2621 2623,faturamento.psmjsn@iagp.org.br
2274310,HOSPITAL MUNICIPAL DE SAPUCAIA,SAPUCAIA,"RUA CORONEL MARCONDES, S/N, CENTRO - CEP 25880000",24 2040-7501,Nao informado no CNES
4089189,HOSPITAL MUNICIPAL NOSSA SENHORA DE NAZARETH,SAQUAREMA,"FABIO LUCIO DOS SANTOS, 158, BARREIRA, VERDE VALE - CEP 28994434",22 26514821,SAUDE@SAQUAREMA.RJ.GOV.BR
2274299,HOSPITAL MUNICIPAL PORPHIRIO NUNES DE AZEREDO,SAQUAREMA,"RUA ADOLFO BRAVO, S/N, BACAXA - CEP 28994699",(22)26533123,Nao informado no CNES
2274108,POLICLINICA MUNICIPAL AGUINALDO MORAES,SILVA JARDIM,"OITO DE MAIO, 534, CENTRO - CEP 28820000",Nao informado no CNES,Nao informado no CNES
2268051,HOSPITAL MUNICIPAL DR JOAO PEREIRA MARTINS,SUMIDOURO,"RUA CARLOS ALBERTO P MOURA JUNIOR, 02, N SRA DE FATIMA - CEP 28637000",(24)25311164,Nao informado no CNES
2283735,HOSPITAL MUNICIPAL DERMEVAL GARCIA DE FREITAS,TANGUA,"RUA PRIMEIRO DE MAIO, 35, CENTRO - CEP 24890000",21 27472301,admpoliclinicatangua@gmail.com
3584968,HOSPITAL MUNICIPAL FRANCISCO LIMONGI,TRAJANO DE MORAES,"RUA NEY FORTUNA, 30, ATRAS DO CAMPO, CENTRO - CEP 28750000",(22)25641102,hflimongi@hotmail.com
2704390,HOSPITAL SAO SEBASTIAO DE VARRESAI,VARRE-SAI,"RUA OCTAVIO MONERAT, 10, CENTRO - CEP 28375000",2238433832,Nao informado no CNES
0025143,HOSPITAL MUNICIPAL DR MUNIR RAFFUL,VOLTA REDONDA,"AV JARAGUA, 1020, RETIRO - CEP 27277130",2433399393,hmr@epdvr.com.br
0025135,HOSPITAL MUNICIPAL SAO JOAO BATISTA,VOLTA REDONDA,"RUA NOSSA SENHORA DAS GRACAS, 235, SAO GERALDO - CEP 27253610",2433424144,sah@hsjb.org.br
