CO_UNIDADE,CO_CNES,NO_FANTASIA,NO_RAZAO_SOCIAL,CATEGORIA_UNIDADE,DS_TIPO_ESTABELECIMENTO,ENDERECO,NO_BAIRRO,CO_CEP,NO_MUNICIPIO,CO_MUNICIPIO_GESTOR,NU_TELEFONE,NO_EMAIL,LAT,LON,CO_NATUREZA_JUR,TP_GESTAO,CO_TIPO_ESTABELECIMENTO,"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')"
3301703976378,3976378,CLINICA DA FAMILIA PARQUE ESPERANCA,MUNICIPIO DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA MARIA DE ANDRADE, 01, JARDIM VILA NOVA - CEP 25070260",JARDIM VILA NOVA,25070260,DUQUE DE CAXIAS,330170,,,-22.719266,-43.314424,1244,M,001,25/03/2026
3301705287545,5287545,CLINICA DA FAMILIA PARQUE LEAL,MUNICIPIO DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"ROD WASHINGTON LUIS, 97, ZONA RURAL, PARQUE LEAL - CEP 25070260",PARQUE LEAL,25070260,DUQUE DE CAXIAS,330170,,,-22.572962733444694,-43.260040283203125,1244,M,001,29/01/2026
3301702277840,2277840,CLINICA DA FAMILIA TAQUARA,MUNICIPIO DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"ESTRADA CACHOEIRA DAS DORES, S/N, ZONA RUAL, TAQUARA - CEP 25270040",TAQUARA,25270040,DUQUE DE CAXIAS,330170,,,-22.613928,-43.23849,1244,M,001,25/03/2026
3301702778661,2778661,CLINICA DA FAMILIA VILA MARIA HELENA,MUNICIPIO DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA SALVADOR CORREIA S N, S/N, VILA MARIA HELENA - CEP 25265008",VILA MARIA HELENA,25265008,DUQUE DE CAXIAS,330170,36552671,,-22.666927461289347,-43.26941728591919,1244,M,001,25/03/2026
3301705815479,5815479,CLINICA DA FAMILIA XEREM,PREFEITURA MUNICIPAL DE DUQUE DE CAXIAS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA CARLOS MATEUS, S/N, ANEXO, XEREM - CEP 25250050",XEREM,25250050,DUQUE DE CAXIAS,330170,,,-22.571433,-43.3177893,1244,M,001,25/03/2026
3301900724343,0724343,CLINICA DA FAMILIA IDEAL SAUDE,SBT RESINGER LTDA,Clinica da familia,AMBULATORIO,"R DR PEREIRA DOS SANTOS, 363, CENTRO - CEP 24800041",CENTRO,24800041,ITABORAI,330190,(21)990840340,idealsaude189@gmail.com,-22.747946115052706,-42.85833120346069,2062,M,016,18/06/2025
3302007765517,7765517,CLINICA DA FAMILIA IBIRAPITANGA,MUNICIPIO DE ITAGUAI,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV VISCONDE DE MAUA, S/N, VILA IBIRAPITANGA - CEP 23811540",VILA IBIRAPITANGA,23811540,ITAGUAI,330200,2193356365,,-22.860516478492208,-43.76320123672485,1244,M,001,27/03/2026
3302852285991,2285991,CLINICA DA FAMILIA BANCO DE AREIA,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV GOV CELSO PECANHA, 1350, BANCO DE AREIA - CEP 26570000",BANCO DE AREIA,26570000,MESQUITA,330285,(21)26926234,,-22.77756,-43.415281,1031,M,001,28/01/2026
3302852286106,2286106,CLINICA DA FAMILIA BNH,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV DAS OLIVEIRAS, 527, ROCHA SOBRINHO - CEP 26574690",ROCHA SOBRINHO,26574690,MESQUITA,330285,37634557,,-22.77719,-43.404236,1031,M,001,25/02/2026
3302855526620,5526620,CLINICA DA FAMILIA COSMORAMA,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"AVENIDA BARONESA DE MESQUITA, 316, COSMORAMA - CEP 26582000",COSMORAMA,26582000,MESQUITA,330285,,,-22.78403,-43.4277702,1031,M,001,07/08/2025
3302852696533,2696533,CLINICA DA FAMILIA DR JORGE CAMPOS,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV BRASIL, 1006, COREIA - CEP 26556000",COREIA,26556000,MESQUITA,330285,37639797,,-22.7793303,-43.4341576,1031,M,001,21/05/2025
3302852286068,2286068,CLINICA DA FAMILIA EDSON PASSOS,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA MARECHAL CASTELO BRANCO, S/N, EDSON PASSOS - CEP 26584140",EDSON PASSOS,26584140,MESQUITA,330285,37631536,,-22.769157829605167,-43.42912673950195,1031,M,001,21/05/2025
3302852286033,2286033,CLINICA DA FAMILIA FRANCA LEITE,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA CORONEL FRANCA LEITE, 732, CHATUBA - CEP 26587111",CHATUBA,26587111,MESQUITA,330285,37656215/ 26605190,,-22.8025498,-43.4369454,1031,M,001,06/03/2026
3302852286041,2286041,CLINICA DA FAMILIA JACUTINGA,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA BARAO DO RIO BRANCO, 155, JACUTINGA - CEP 26564510",JACUTINGA,26564510,MESQUITA,330285,27926219,,-22.7708547,-43.4198647,1031,M,001,07/10/2025
3302852286076,2286076,CLINICA DA FAMILIA JUSCELINO,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA GETULIO DE MOURA, 3120, JUSCELINO - CEP 26557700",JUSCELINO,26557700,MESQUITA,330285,37639796,,-22.774331,-43.431909,1031,M,001,27/05/2025
3302855035376,5035376,CLINICA DA FAMILIA ROCHA SOBRINHO,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV COELHO DA ROCHA, 2202, ROCHA SOBRINHO - CEP 26572320",ROCHA SOBRINHO,26572320,MESQUITA,330285,,,-22.78608184097446,-43.41508661078093,1031,M,001,06/12/2024
3302852696525,2696525,CLINICA DA FAMILIA SAO JOSE,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV UNIAO, 673, SANTA TEREZINHA - CEP 26554155",SANTA TEREZINHA,26554155,MESQUITA,330285,37658782,,-22.791474060461233,-43.43567132949829,1031,M,001,17/09/2025
3302853945995,3945995,CLINICA DA FAMILIA WALTER BORGES,SECRETARIA MUNICIPAL DE SAUDE DE MESQUITA,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA INACIO SERRA, S/N, CHATUBA - CEP 26587590",CHATUBA,26587590,MESQUITA,330285,,,-22.808171,-43.440337,1031,M,001,27/05/2025
3303202290626,2290626,CLINICA DA FAMILIA DR JORGE DAVID,MUNICIPIO DE NILOPOLIS,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA JOAO PESSOA, 1530, TERREO, CENTRO - CEP 26520020",CENTRO,26520020,NILOPOLIS,330320,,,-22.8099268,-43.4193154,1244,M,001,05/12/2025
3303502284278,2284278,CLINICA DA FAMILIA ADRIANOPOLIS,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"ESTRADA DE ADRIANOPOLIS, 10, ADRIANOPOLIS - CEP 26041270",ADRIANOPOLIS,26041270,NOVA IGUACU,330350,,,-22.6963674,-43.4688274,1244,M,001,23/09/2025
3303502284294,2284294,CLINICA DA FAMILIA ALBERTO SOBRAL,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA ORLINDA WILMAN, 115, MOQUETA - CEP 26215150",MOQUETA,26215150,NOVA IGUACU,330350,,,-22.7498318,-43.4488851,1244,M,001,23/09/2025
3303507834284,7834284,CLINICA DA FAMILIA ALIANCA,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"ESTRADA MUGANGO, S/N, ALIANCA - CEP 26293363",ALIANCA,26293363,NOVA IGUACU,330350,,,-22.7931727,-43.5645783,1244,M,001,17/07/2025
3303508111146,8111146,CLINICA DA FAMILIA BAIRRO DA LUZ,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA CEL BERNARDINO DE MELO, 4345, LUZ - CEP 26255140",LUZ,26255140,NOVA IGUACU,330350,,,-22.75205,-43.47136,1244,M,001,27/01/2026
3303502284456,2284456,CLINICA DA FAMILIA CABUCU,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV ABILIO AUGUSTO TAVORA, 6820, CABUCU - CEP 26265090",CABUCU,26265090,NOVA IGUACU,330350,,,-22.782096520846682,-43.53965172866486,1244,M,001,14/11/2025
3303502284421,2284421,CLINICA DA FAMILIA COBREX,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA JULIO KENNER, 202, COBREX - CEP 26033460",COBREX,26033460,NOVA IGUACU,330350,,,-22.721015,-43.465763,1244,M,001,28/01/2026
3303502284502,2284502,CLINICA DA FAMILIA CORUMBA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"ESTRADA DE SANTA RITA, S/N, CORUMBA - CEP 26051060",CORUMBA,26051060,NOVA IGUACU,330350,26572528,,-22.696262,-43.473141,1244,M,001,09/04/2026
3303502284316,2284316,CLINICA DA FAMILIA DA CERAMICA 2,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"ESTRADA DE SANTANA, 155, CERAMICA - CEP 26031550",CERAMICA,26031550,NOVA IGUACU,330350,,,-22.7312115,-43.4923396,1244,M,001,23/09/2025
3303502284480,2284480,CLINICA DA FAMILIA DE TINGUA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA CANAJES, S/N, TINGUA - CEP 26063570",TINGUA,26063570,NOVA IGUACU,330350,(21)27794484,,-22.5947794,-43.4178186,1244,M,001,23/09/2025
3303502284138,2284138,CLINICA DA FAMILIA DIRCEU DE AQUINO RAMOS,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA JOAO BATISTA DE LIMA, 35, AUSTIN - CEP 26086000",AUSTIN,26086000,NOVA IGUACU,330350,,,-22.7263105,-43.5187648,1244,M,001,26/09/2025
3303509090851,9090851,CLINICA DA FAMILIA DO KM32,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"ESTRADA RIO SAO PAULO, 465, KM32 - CEP 26298566",KM32,26298566,NOVA IGUACU,330350,2799-6023,,-22.8251183,-43.6187987,1244,M,001,23/09/2025
3303502284308,2284308,CLINICA DA FAMILIA DOLORES DELFINO GOMES,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA OUVIDOR, S/N, PRATA - CEP 26010630",PRATA,26010630,NOVA IGUACU,330350,,,-22.7311193,-43.4606551,1244,M,001,01/04/2026
3303505631475,5631475,CLINICA DA FAMILIA DOM BOSCO,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA ALBILIO AUGUSTO TAVORA, S/N, MARAPICU - CEP 26051540",MARAPICU,26051540,NOVA IGUACU,330350,,,-22.804659,-43.584397,1244,M,001,23/01/2026
3303505845084,5845084,CLINICA DA FAMILIA DR DELMO MOURA SA,SECRETARIA MUNICIPAL DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV ABILIO AUGUSTO TAVORA, 04, DANON - CEP 26294300",DANON,26294300,NOVA IGUACU,330350,,,-22.770151,-43.509641,1244,M,001,27/01/2026
3303506156827,6156827,CLINICA DA FAMILIA DR MARCO POLO DE GOUVEIA PEREIRA AMBAI,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"AV HENRIQUE DUQUE ESTRADA MAYER, 3357, AMBAI - CEP 26041061",AMBAI,26041061,NOVA IGUACU,330350,,,-22.714385245135816,-43.451367476387276,1244,M,001,13/03/2026
3303502284529,2284529,CLINICA DA FAMILIA DR PEDRO ARUME,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"CAMINHO DA PITEIRA, S/N, GRAMA - CEP 26065610",GRAMA,26065610,NOVA IGUACU,330350,2765-1463,,-22.6958815,-43.4221614,1244,M,001,26/09/2025
3303502284286,2284286,CLINICA DA FAMILIA EDI PINTO DA SILVA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,AMBULATORIO,"RUA CAPISTRANO DE ABREU, S/N, VILA NOVA - CEP 26230450",VILA NOVA,26230450,NOVA IGUACU,330350,,,-22.7660923,-43.4287532,1244,M,016,19/11/2025
3303509406042,9406042,CLINICA DA FAMILIA ELAINE AMBROSIO,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA CORONEL MONTEIRO DE BARROS, 783, AUSTIN - CEP 26087130",AUSTIN,26087130,NOVA IGUACU,330350,21-27631577,,-22.7153847,-43.5271202,1244,M,001,26/09/2025
3303502284219,2284219,CLINICA DA FAMILIA EMILIA GOMES,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA DOS QUARTEIS, 221, COMENDADOR SOARES - CEP 26276390",COMENDADOR SOARES,26276390,NOVA IGUACU,330350,31034844,,-22.7437776,-43.49587362135922,1244,M,001,23/09/2025
3303505925258,5925258,CLINICA DA FAMILIA ENGENHO PEQUENO,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA OLGA ALVES, 36, ENGENHO PEQUENO - CEP 26015270",ENGENHO PEQUENO,26015270,NOVA IGUACU,330350,,,-22.7419538,-43.429604,1244,M,001,09/04/2026
3303502284227,2284227,CLINICA DA FAMILIA ERALDO SARDINHA,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA MOTORISTA LUIZ CARLOS GOMES, 45, CACUIA - CEP 26210012",CACUIA,26210012,NOVA IGUACU,330350,,,-22.7322827,-43.5008361,1244,M,001,23/09/2025
3303505635241,5635241,CLINICA DA FAMILIA FIGUEIRA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"CORONEL FRANCISCO SOARES, S/N, FIGUEIRA - CEP 26051540",FIGUEIRA,26051540,NOVA IGUACU,330350,,,-22.7551665,-43.4379588941641,1244,M,001,01/04/2026
3303502284332,2284332,CLINICA DA FAMILIA HERONDILHO RIBEIRO DA SILVA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA CINCO, 1032, PALHADA - CEP 26290366",PALHADA,26290366,NOVA IGUACU,330350,,,-22.7981276,-43.6047682,1244,M,001,25/03/2025
3303505795958,5795958,CLINICA DA FAMILIA IVO MANOEL LOPES,SECRETARIA MUNICIPAL DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"TRAVESSA CARLOS SAMPAIO, 1268, VILA GUIMARAES - CEP 26088040",VILA GUIMARAES,26088040,NOVA IGUACU,330350,,,-22.7071001,-43.5305101,1244,M,001,23/09/2025
3303502284324,2284324,CLINICA DA FAMILIA JACERUBA,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA JAPERI, 60, JACERUBA - CEP 26210970",JACERUBA,26210970,NOVA IGUACU,330350,,,-22.7177284,-43.5589901,1244,M,001,23/09/2025
3303506054285,6054285,CLINICA DA FAMILIA JARDIM DA VIGA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"ESTRADA DE IGUACU, 171, JARDIM DA VIGA - CEP 26065610",JARDIM DA VIGA,26065610,NOVA IGUACU,330350,,,-22.7446612,-43.4389312,1244,M,001,22/10/2025
3303506018289,6018289,CLINICA DA FAMILIA JARDIM IGUACU,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA 1 DE AGOSTO, 30, JARDIM IGUACU - CEP 26282210",JARDIM IGUACU,26282210,NOVA IGUACU,330350,37737267,,-22.744396,-43.4666309,1244,M,001,23/09/2025
3303502284340,2284340,CLINICA DA FAMILIA JARDIM JASMIM,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA APOSTOLO ALEIXO, 075, JARDIM JASMIM - CEP 26265030",JARDIM JASMIM,26265030,NOVA IGUACU,330350,37760441,,-22.7582732,-43.4907024,1244,M,001,23/09/2025
3303509089322,9089322,CLINICA DA FAMILIA JARDIM PALMARES,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA DAS AMIXEIRAS, S/N, JARDIM PALMARES - CEP 26215020",JARDIM PALMARES,26215020,NOVA IGUACU,330350,,,-22.75777000789478,-43.5120564323295,1244,M,001,23/09/2025
3303509406506,9406506,CLINICA DA FAMILIA JARDIM PARAISO,MUNICIPIO DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA INGA, S/N, JARDIM PARAISO - CEP 26023140",JARDIM PARAISO,26023140,NOVA IGUACU,330350,2686-1345,,-22.8278658,-43.606741,1244,M,001,23/09/2025
3303502284235,2284235,CLINICA DA FAMILIA JARDIM ROMA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA BRUNO LECINI, S/N, JARDIM ROMA - CEP 26276290",JARDIM ROMA,26276290,NOVA IGUACU,330350,,,-22.744912,-43.525437,1244,M,001,09/04/2026
3303502284405,2284405,CLINICA DA FAMILIA JOSE RODRIGUES DA SILVA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"RUA OITICICA, S/N, CAICARA - CEP 26020000",CAICARA,26020000,NOVA IGUACU,330350,,,-22.7310122,-43.4440143,1244,M,001,23/09/2025
3303502284545,2284545,CLINICA DA FAMILIA JULIA TAVORA,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,Clinica da familia,UNIDADE BASICA DE SAUDE,"TV JULIA TAVORA, 67, CENTRO - CEP 26030160",CENTRO,26030160,NOVA IGUACU,330350,,,-22.7629072,-43.4608589,1244,M,001,13/03/2026
