CO_UNIDADE,CO_CNES,NO_FANTASIA,NO_RAZAO_SOCIAL,CRITERIO_SELECAO,ENDERECO,NO_BAIRRO,CO_CEP,NO_MUNICIPIO,CO_MUNICIPIO_GESTOR,NU_TELEFONE,NO_EMAIL,LAT,LON,CO_NATUREZA_JUR,TP_GESTAO,CO_TIPO_ESTABELECIMENTO,CO_ATIVIDADE_PRINCIPAL,"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')"
3301709193723,9193723,HMODC,HOSPITAL MUNICIPAL DO OLHO DE DUQUE DE CAXIAS,nome Hospital Municipal,"RUA DOUTOR LAUREANO, 1145, DOUTOR LAUREANO - CEP 25060198",DOUTOR LAUREANO,25060198,DUQUE DE CAXIAS,330170,,,-22.7695951,-43.2992929,1031,M,006,009,25/03/2026
3301702277751,2277751,HOSPITAL INFANTIL ISMELIA SILVEIRA,MUNICIPIO DE DUQUE DE CAXIAS,tipo hospital + natureza Municipio,"RUA DA REPUBLICA, S/N, CENTRO - CEP 25011090",CENTRO,25011090,DUQUE DE CAXIAS,330170,(31)27712808,,-22.793254685613025,-43.305727610012596,1244,M,006,009,25/03/2026
3301702290227,2290227,HOSPITAL MUNICIPAL ADAO PEREIRA NUNES,MUNICIPIO DE DUQUE DE CAXIAS,nome Hospital Municipal + tipo hospital/natureza Municipio,"ROD WASHINGTON LUIZ, S/N, BR 040 KM 109, JD PRIMAVERA - CEP 25225015",JD PRIMAVERA,25225015,DUQUE DE CAXIAS,330170,2127775258,direcao.hmapn@duquedecaxias.rj.gov.br,-22.6729752,-43.2836708,1244,M,006,009,24/03/2026
3301704832256,4832256,HOSPITAL MUNICIPAL DO CORACAO SAO JOSE,SECRETARIA MUNICIPAL DE SAUDE DE DUQUE DE CAXIAS,nome Hospital Municipal,"RUA NOBRE DE LACERDA, 111, VILA FLAVIA - CEP 25010260",VILA FLAVIA,25010260,DUQUE DE CAXIAS,330170,,,-22.789377553691963,-43.31536634642715,1031,M,006,009,03/03/2026
3301700978213,0978213,HOSPITAL MUNICIPAL INFANTIL PADRE GUILHERME,MUNICIPIO DE DUQUE DE CAXIAS,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA EVARISTO DE MORAIS, S/N, VILA BERNADETE - CEP 25272560",VILA BERNADETE,25272560,DUQUE DE CAXIAS,330170,,cnes.hmpg@gmail.com,-22.61657251923545,-43.20353116559504,1244,M,006,009,06/02/2026
3301706007317,6007317,HOSPITAL MUNICIPAL MOACYR RODRIGUES DO CARMO,SECRETARIA MUNICIPAL DE SAUDE DE DUQUE DE CAXIAS,nome Hospital Municipal,"ROD WASHINGTON LUIS, 3200, VILA SAO LUIZ - CEP 25085009",VILA SAO LUIZ,25085009,DUQUE DE CAXIAS,330170,26721090 26723857,cnes.hmmrc.upa@gmail.com,-22.783638799592353,-43.28406254240659,1031,M,006,009,01/04/2026
3301700155055,0155055,MATERNIDADE SANTA CRUZ DA SERRA,MUNICIPIO DE DUQUE DE CAXIAS,tipo hospital + natureza Municipio,"AV AUTOMOVEL CLUBE, 275, SANTA CRUZ DA SERRA - CEP 25272405",SANTA CRUZ DA SERRA,25272405,DUQUE DE CAXIAS,330170,,rh.maternidade.stserra@gmail.com,-22.642154,-43.279992,1244,M,006,009,20/03/2026
3301707588577,7588577,POLICLINICA HOSPITAL DUQUE DE CAXIAS,MUNICIPIO DE DUQUE DE CAXIAS,tipo hospital + natureza Municipio,"RUA DR MANOEL LUCAS, S/N, SENHOR DO BONFIM - CEP 25025330",SENHOR DO BONFIM,25025330,DUQUE DE CAXIAS,330170,,,-22.78049445623406,-43.315701484680176,1244,M,006,017,26/03/2026
3301856146376,6146376,HOSPITAL MUNICIPAL JOSE RABELLO DE MELLO,PREFEITURA MUNICIPAL DE GUAPIMIRIM,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA OSVALDO CRUZ, 0, BANANAL - CEP 25946497",BANANAL,25946497,GUAPIMIRIM,330185,2126323169,sms@guapimirim.rj.gov.br,-22.536402,-42.9822284,1244,M,006,009,24/02/2026
3301902268922,2268922,HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ,PREFEITURA MUNICIPAL DE ITABORAI,nome Hospital Municipal + tipo hospital/natureza Municipio,"ESTRADA PREFEITO ALVARO DE CARVALHO JUNIOR, S/N, NANCILANDIA - CEP 24801064",NANCILANDIA,24801064,ITABORAI,330190,(21)26458070,hmdlj@itaborai.rj.gov.br,-22.73762,-42.84888,1244,M,006,009,04/03/2026
3301900131237,0131237,HOSPITAL MUNICIPAL SAO JUDAS TADEU,PREFEITURA MUNICIPAL DE ITABORAI,nome Hospital Municipal + tipo hospital/natureza Municipio,"AV 22 DE MAIO, S/N, OUTEIRO DAS PEDRAS - CEP 24812222",OUTEIRO DAS PEDRAS,24812222,ITABORAI,330190,21 2645-4508,gabinete.saude@itaborai.rj.gov.br,-22.749529,-42.87333,1244,M,006,009,04/03/2026
3302002284634,2284634,HOSPITAL MUNICIPAL SAO FRANCISCO XAVIER,MUNICIPIO DE ITAGUAI,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA GENERAL BOCAIUVA, 16, CENTRO - CEP 23815310",CENTRO,23815310,ITAGUAI,330200,(21)26887844,sms.saude@itaguai.rj.gov.br,-22.0909,-43.0909,1244,M,006,007,02/04/2026
3302103470350,3470350,HOSPITAL MUNICIPAL DE ITAOCARA,MUNICIPIO DE ITAOCARA,nome Hospital Municipal + tipo hospital/natureza Municipio,"PRACA TOLEDO PIZZA, 151, CENTRO - CEP 28570000",CENTRO,28570000,ITAOCARA,330210,(22)38612250,hospital_hmi@hotmaill.com,-21.666261,-42.078896,1244,M,006,009,12/03/2026
3302252288230,2288230,HOSP MUNICIPAL MATERNIDADE DR MANOEL MARTINS DE BARROS,SECRETARIA MUNICIPAL DE SAUDE DE ITATIAIA,tipo hospital + natureza Municipio,"AV DOIS, 800, JD ITATIAIA - CEP 27580000",JD ITATIAIA,27580000,ITATIAIA,330225,(24) 3352-6850/1250,admhospitalmunicipalitatiaia@gmail.com,-22.4877908,-44.5750442,1244,M,006,009,10/04/2026
3302272281554,2281554,HMJ HOSPITAL MUNICIPAL DE JAPERI,MUNICIPIO DE JAPERI,nome Hospital Municipal + tipo hospital/natureza Municipio,"ESTRADA ARY SCHIAVO, S/N, SANTA INES - CEP 26440115",SANTA INES,26440115,JAPERI,330227,2126645878,policlinica@gmail.com,-22.645803994279042,-43.607361754228144,1244,M,006,009,05/03/2026
3302302290499,2290499,HOSPITAL MUNICIPAL DE LAJE DO MURIAE,HOSPITAL MUNICIPAL DE LAJE DO MURIAE,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA GERONCIO FERREIRA, 270, CENTRO - CEP 28350200",CENTRO,28350200,LAJE DO MURIAE,330230,2238292434,,-21.208887,-42.1193939,1244,M,006,007,28/11/2025
3302407655703,7655703,HOSPITAL PUBLICO MUNICIPAL DA SERRA HPMS,MUNICIPIO DE MACAE,tipo hospital + natureza Municipio,"RUA JOAO MANOEL DA SILVA, 600, TRAPICHE - CEP 27945000",TRAPICHE,27945000,MACAE,330240,(22) 2793-3914,assessoriahpms@gmail.com,-22.232162282929295,-42.01938986778259,1244,M,006,009,22/01/2026
3302405412447,5412447,HOSPITAL PUBLICO MUNICIPAL DE MACAE HPM,MUNICIPIO DE MACAE,tipo hospital + natureza Municipio,"ROD RJ 168, S/N, KM 04, VIRGEM SANTA - CEP 27910000",VIRGEM SANTA,27910000,MACAE,330240,2227730061,hpmm@pop.com.br,-22.37093209964088,-41.78692817687988,1244,M,006,009,08/12/2025
3302502278731,2278731,HOSPITAL DE MAUA DR MARIO PINHEIRO,MUNICIPIO DE MAGE,tipo hospital + natureza Municipio,"ESTRADA REAL DE MAUA, S/N, PRAIA DA ESPERANCA - CEP 25926586",PRAIA DA ESPERANCA,25926586,MAGE,330250,(21)6150025,,-22.7155543,-43.1811713,1244,M,006,009,17/03/2026
3302502278324,2278324,HOSPITAL MATERNO INFANTIL DE PIABETA VEREADOR HUGO BRAGA,MUNICIPIO DE MAGE,tipo hospital + natureza Municipio,"AVENIDA SANTOS DUMONT, 285, PIABETA INHOMIRIM - CEP 25931758",PIABETA INHOMIRIM,25931758,MAGE,330250,(21)2739-1289,,-22.6101408,-43.1808052,1244,M,006,009,08/04/2026
3302502278677,2278677,HOSPITAL MUNICIPAL DE FRAGOSO GENARINO COZZOLINO,MUNICIPIO DE MAGE,nome Hospital Municipal + tipo hospital/natureza Municipio,"AV AUTOMOVEL CLUB, S/N, KM 60, FRAGOSO - CEP 25935510",FRAGOSO,25935510,MAGE,330250,(21)26593236,,-22.6030585,-43.1898105,1244,M,006,009,17/03/2026
3302502278332,2278332,HOSPITAL MUNICIPAL DE MAGE,MUNICIPIO DE MAGE,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA PIO XII, 81, FIGUEIRA - CEP 25903587",FIGUEIRA,25903587,MAGE,330250,(21)26332358,,-22.6492179,-43.0325279,1244,M,006,009,10/04/2026
3302500103616,0103616,UNIDADE 24 HORAS DE SANTO ALEIXO,MUNICIPIO DE MAGE,tipo hospital + natureza Municipio,"AVENIDA OTHON LINCH BEZERRA DE MELLO, 329, ANT PRED CENTRO ADM, SANTO ALEIXO - CEP 25912206",SANTO ALEIXO,25912206,MAGE,330250,,,-22.56050002,-43.0532934,1244,M,006,009,17/03/2026
3302602288109,2288109,HOSPITAL MUNICIPAL VICTOR DE SOUZA BREVES,SECRETARIA MUNICIPAL DE SAUDE,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA NILO PECANHA, 85, CENTRO - CEP 23860000",CENTRO,23860000,MANGARATIBA,330260,(21)2789-9035,saude@mangaratiba.rj.gov.br,-22.961474,-44.0397305,1244,M,006,009,30/03/2026
3302709895124,9895124,ERNESTO CHE GUEVARA SMSM,HOSPITAL MUNICIPAL DR ERNESTO CHE GUEVARA,nome Hospital Municipal,"ROD ERNANI DO AMARAL PEIXOTO, 23269, QD GLD LT 2, SAO JOSE DO IMBASSAI - CEP 24931000",SAO JOSE DO IMBASSAI,24931000,MARICA,330270,21-26372667,ernestocheguevaramarica@gmail.com,-22.9272,-42.86904,1031,M,006,009,16/03/2026
3302702266733,2266733,HOSPITAL MUNICIPAL CONDE MODESTO LEAL,MUNICIPIO DE MARICA,nome Hospital Municipal,"RUA DOMICIO DA GAMA, 433, CENTRO - CEP 24900815",CENTRO,24900815,MARICA,330270,(21)26371713,superintendenciadesaudemarica@gmail.com,-22.9209381,-42.8177319,1120,M,006,009,24/11/2025
3302805057531,5057531,HOSPITAL MUNICIPAL SANTA MARIA,MUNICIPIO DE MENDES,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA CAPITAO MEXIAS, 112, CENTRO - CEP 26700000",CENTRO,26700000,MENDES,330280,2424652240,,-22.527145546985007,-43.73406171798706,1244,M,006,009,06/04/2026
3302804123069,4123069,SAO MARCELINO CHAMPAGNAT,MUNICIPIO DE MENDES,tipo hospital + natureza Municipio,"RJ127 KM30, S/N, GONZALES - CEP 26700000",GONZALES,26700000,MENDES,330280,,,-22.518605163251845,-43.74296933412552,1244,M,006,013,06/04/2026
3302902283239,2283239,HOSPITAL MUNICIPAL LUIZ GONZAGA,SECRETARIA MUNICIPAL DE SAUDE DE MIGUEL PEREIRA,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA ADELAIDE BADENES, 400, CENTRO - CEP 26900000",CENTRO,26900000,MIGUEL PEREIRA,330290,(24)21050222,secretariaadm.hmlg@ibdap.org.br,-22.450260626314968,-43.46043348312378,1244,M,006,009,09/04/2026
3303202293862,2293862,HOSPITAL MUNICIPAL JUSCELINO KUBITSCHEK,SECRETARIA MUNICIPAL DE SAUDE DE NILOPOLIS,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA ZEZINHO, 111, CENTRO - CEP 26520000",CENTRO,26520000,NILOPOLIS,330320,(21)37613223,,-22.810136873581314,-43.418263720638116,1244,M,006,009,10/04/2026
3303300012513,0012513,HOSPITAL MUNICIPAL CARLOS TORTELLY,FUNDACAO MUNICIPAL DE SAUDE,nome Hospital Municipal,"ATHAYDE PARREIRAS, 266, NITEROI - CEP 24070090",NITEROI,24070090,NITEROI,330330,(21) 2729-9342,,-22.893917576889766,-43.11037838459015,1155,M,006,007,01/04/2026
3303300105317,0105317,HOSPITAL MUNICIPAL OCEANICO DR GILSON CANTARINO HMOGC,FUNDACAO MUNICIPAL DE SAUDE DE NITEROI,nome Hospital Municipal,"DOUTOR RAUL DE OLIVEIRA RODRIGUES, 382, PIRATININGA - CEP 24350630",PIRATININGA,24350630,NITEROI,330330,21 31803948,CONTABILIDADESAUDEDENITEROI@GMAIL.COM,-22.943388379407434,-43.061914570933546,1155,M,006,009,08/04/2026
3303402272784,2272784,HOSPITAL MUNICIPAL RAUL SERTA,MUNICIPIO DE NOVA FRIBURGO,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA GENERAL OSORIO, 324, CENTRO - CEP 28625630",CENTRO,28625630,NOVA FRIBURGO,330340,22 2524-2300,hmrs@gigalink.com.br,-22.27248,-42.53411,1244,M,006,009,07/04/2026
3303502798662,2798662,HGNI HOSPITAL GERAL DE NOVA IGUACU,MUNICIPIO DE NOVA IGUACU,tipo hospital + natureza Municipio,"AVENIDA HENRIQUE DUQUE ESTRADA MEYER, 953, NAO HA, POSSE - CEP 26030380",POSSE,26030380,NOVA IGUACU,330350,2137799900,direcaogeral.hgni@novaiguacu.rj.gov.br,-22.73124353010084,-43.46234321594238,1244,M,006,009,06/04/2026
3303507591136,7591136,HOSPITAL IGUASSU MATERNIDADE MUNICIPAL MARIANA BULHOES,SECRETARIA MUNICIPAL DE SAUDE DE NOVA IGUACU,tipo hospital + natureza Municipio,"RUA CORONEL ALFREDO SOARES, S/N, CENTRO - CEP 26255150",CENTRO,26255150,NOVA IGUACU,330350,31023123,direcaogeral.mmmb@gmail.com,-22.759086633355263,-43.45109939575195,1244,M,006,013,09/04/2026
3303602279355,2279355,HOSPITAL MUNICIPAL DR ADALBERTO DA GRACA,MUNICIPIO DE PARACAMBI,nome Hospital Municipal + tipo hospital/natureza Municipio,"AV JONAS LEAL, 17, LAGES - CEP 26600000",LAGES,26600000,PARACAMBI,330360,(21)26832128,,-22.6252912,-43.7012955,1244,M,006,009,31/10/2025
3303600219436,0219436,MATERNIDADE LAURINDO JOSE FERREIRA,MUNICIPIO DE PARACAMBI,tipo hospital + natureza Municipio,"AVENIDA JONAS LEAL, 17, LAGES - CEP 26600000",LAGES,26600000,PARACAMBI,330360,,,-22.6276506,-43.7007294,1244,M,006,013,31/10/2025
3303802704587,2704587,HOSPITAL MUNICIPAL HUGO MIRANDA,SECRETARIA MUNICIPAL DE SAUDE DE PARATY,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA SAO PEDRO DE ALCANTARA, 01, PONTAL - CEP 23970000",PONTAL,23970000,PARATY,330380,2433716551,paratyfaturamento@gmail.com,-23.21794068384828,-44.71291780471802,1244,M,006,007,06/04/2026
3303902275562,2275562,HOSPITAL ALCIDES CARNEIRO,MUNICIPIO DE PETROPOLIS,tipo hospital + natureza Municipio,"RUA VIGARIO CORREA, 1345, CORREAS - CEP 25720320",CORREAS,25720320,PETROPOLIS,330390,2236-6600,direcaotecnica@alcidescarneiro.com,-22.44578,-43.1425,1244,M,006,001,01/04/2026
3303902275589,2275589,HOSPITAL MUNICIPAL DR NELSON DE SA EARP,MUNICIPIO DE PETROPOLIS,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA PAULINO AFONSO, 455, CENTRO - CEP 25680000",CENTRO,25680000,PETROPOLIS,330390,(24)22374062,ssahmnse03@petropolis.rj.gov.br,-22.507684949999998,-43.19229380768313,1244,M,006,009,25/02/2026
3303952271141,2271141,HOSPITAL MUNICIPAL DE PINHEIRAL AURELINO GONCALVES BARBOSA,MUNICIPIO DE PINHEIRAL,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA FRANCISCO RIBEIRO DE ABREU, 60, CENTRO - CEP 27198360",CENTRO,27198360,PINHEIRAL,330395,(24) 3356 3490/3188,smspinheiral2017@outlook.com.br,-22.5191212,-43.9956992,1244,M,006,009,26/03/2026
3304102272210,2272210,UNIDADE DE ATENDIMENTO DR ANTONIO MONTEIRO,PREFEITURA MUNICIPAL DE PORCIUNCULA,tipo hospital + natureza Municipio,"RUA SCHUWARTZ VIEIRA, 154, CENTRO - CEP 28390000",CENTRO,28390000,PORCIUNCULA,330410,2238421172,saude@porciuncula.rj.gov.br,-20.962000666779435,-42.04066514968872,1244,M,006,001,27/05/2025
3304115307864,5307864,HOSPITAL GERAL MUNICIPAL SAO FRANCISCO DE ASSIS,MUNICIPIO DE PORTO REAL,tipo hospital + natureza Municipio,"AVENIDA RENATO MONTEIRO, 1235, CENTRO - CEP 27570000",CENTRO,27570000,PORTO REAL,330411,2433534201,controleavaliacaopr@gmail.com,-22.4212126,-44.3493067,1244,M,006,026,09/04/2026
3304140182974,0182974,HOSPITAL E MATERNIDADE MUNICIPAL DE QUEIMADOS,MUNICIPIO DE QUEIMADOS,tipo hospital + natureza Municipio,"RUA DEUSINHO DE FREITAS, 13, CENTRO - CEP 26325290",CENTRO,26325290,QUEIMADOS,330414,26657800,,-22.71832434384697,-43.55583965778351,1244,M,006,009,08/01/2026
3304152267209,2267209,HOSPITAL MUNICIPAL MARIANA MARIA DE JESUS,SECRETARIA MUNICIPAL DE SAUDE DE QUISSAMA,nome Hospital Municipal,"AV AMILCAR PEREIRA DA SILVA, 138, MATO DE PIPA - CEP 28737000",MATO DE PIPA,28737000,QUISSAMA,330415,2227689100,hospital@quissama.rj.gov.br,-22.1142433,-41.4848849,1031,M,006,009,08/04/2026
3304202288893,2288893,HOSPITAL MUNICIPAL HENRIQUE SERGIO GREGORI,SECRETARIA MUNICIPAL DE SAUDE DE RESENDE,nome Hospital Municipal + tipo hospital/natureza Municipio,"AVENIDA MARCILIO DIAS, 800, JARDIM JALISCO - CEP 27510080",JARDIM JALISCO,27510080,RESENDE,330420,(24) 3381-2080,direcaohme.resende@gmail.com,-22.463259516067705,-44.45989966392517,1244,M,006,009,04/02/2026
3304406232094,6232094,HOSPITAL MUNICIPAL NOSSA SENHORA DA PIEDADE,SECRETARIA MUNICIPAL DE SAUDE DE RIO CLARO,nome Hospital Municipal + tipo hospital/natureza Municipio,"RODOVIA FRANCISCO SATURNINO BRAGA, 9831, GUARITA - CEP 27460000",GUARITA,27460000,RIO CLARO,330440,24 33321611/33321798,fusarc.infdados@rioclaro.rj.gov.br,-22.725840479987838,-44.12836790084839,1244,M,006,009,24/03/2026
3304502268329,2268329,HOSPITAL GERAL DR LUIZ PINTO,MUNICIPIO DE RIO DAS FLORES,tipo hospital + natureza Municipio,"RUA MARCELINO DO VALLE, 13, INGLESES - CEP 27660322",INGLESES,27660322,RIO DAS FLORES,330450,(24)24581300,faturamentorf@gmail.com,-22.168041,-43.57836,1244,M,006,009,28/01/2026
3304526069134,6069134,HOSPITAL MUNICIPAL DRA NAELMA MONTEIRO DA SILVA,MUNICIPIO RIO DAS OSTRAS,nome Hospital Municipal + tipo hospital/natureza Municipio,"RUA NILDON LUSTOSA, S/N, PARQUE ZABULAO - CEP 28893800",PARQUE ZABULAO,28893800,RIO DAS OSTRAS,330452,22 27716329,hmro@pmro.rj.gov.br,-22.516981,-41.9440618,1244,M,006,009,22/01/2026
